transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T12274,U016,08-01-2024,Expense,FOOD,6666,CRD,jaipur,misc
T3587,U089,05/29/2023,Expense,utilities,8355,Bank Transfr,DEL,asdfgh
T9205,U111,02/24/2021,Expense,Travel,₹9644,UPI,Hyderabad,Gym membership
T2439,U129,04-02-2022,Expense,rent,1690,card,Pune,Online course
T9679,U028,20-05-2023,Expense,Utility,9727,Upi,Lucknow,Restaurant dinner
T13096,U110,15-03-2023,Expense,Food,4753,csh,delhi,Monthly rent payment
T11952,U052,08-02-2021,Expense,food,5025,Bank Transfr,KOLKATA,
T1629,U060,03-07-2021,Expense,Foods,2628,BankTransfer,,Grocery shopping
T11073,U129,25-07-2022,Expense,Travel,1611,Csh,Pune,N/A
T0496,U065,15-01-2023,Expense,education,6020,CRD,Pune,Online course
T3419,U081,14-12-2023,Expense,Utility,3123,Bank_Transfer,CHENNAI,Monthly rent payment
T7640,U092,,Income,Bonus,16944,card,Bangalore,test
T12923,U119,11-12-2022,Expense,Rentt,₹25106,BankTransfer,,misc
T10148,U078,10-08-2023,Expense,Entertainment,1317,UPI,Pune,Medicine
T0881,U069,16-02-2023,Expense,Foodd,4235,Bank_Transfer,DELHI,test
T4819,U041,01-03-2024,Expense,education,2966,BankTransfer,,Lunch
T11108,U114,03-07-2022,Expense,Education,2265,UPi,Delhi,Petrol
T6885,U100,03-07-2021,Expense,Utlities,1346,BankTransfer,MUMBAI,Petrol
T5946,U096,20-01-2022,Expense,Rent,-500,cash,Chennai,Gym membership
T13677,U014,05/16/2023,Expense,TRAVEL,702,card,hyderabad,Petrol
T1763,U095,09/21/2024,Income,Investment,,Card,Hyderabad,...
T5130,U110,02-03-2024,Expense,Entertain,1505,Bank Transfer,KOL,Uber ride
T9955,U032,06/27/2024,Expense,RENT,Rs.4697,Crd,bangalore,Movie tickets
T1203,U082,08/16/2023,Expense,Rentt,10239,BankTransfer,KOL,test
T2284,U125,09-07-2021,Expense,Entertainment,999999,Upi,KOLKATA,xyz123
T1030,U031,22-09-2021,Expense,entertainment,Rs.7245,Csh,MUMBAI,ATM withdrawal
T0932,U081,10-12-2024,Expense,Travl,₹4258,bank transfer,Bangalore,Books
T12819,U002,21-04-2023,Expense,Entrtnmnt,4253,Card,HYD,Books
T1137,U026,06-01-2022,Expense,FOOD,6666,bank transfer,Jaipur,test
T4052,U066,11-11-2021,Expense,Travel,4882,CASH,LUCKNOW,asdfgh
T6325,U076,12-03-2023,Expense,Foods,4597,,LUCKNOW,Restaurant dinner
T12879,U124,12-11-2023,Income,Freelance,65471,Upi,N/A,Books
T9995,U025,20-04-2024,Income,Bonus,28581,Bank Transfr,,Online course
T3904,U141,28-10-2021,Expense,RENT,3737 INR,,jaipur,ATM withdrawal
T2126,U087,03-05-2022,Expense,education,8214,Card,kolkata,
T2433,U090,02-12-2024,Expense,Utilties,7287,Upi,BAN,EMI payment
T1875,U062,05/13/2023,Expense,FOOD,6868,Csh,PUNE,Medicine
T9425,U046,11-04-2021,Expense,Fod,-1000,Bank_Transfer,Bangalore,Medicine
T2991,U087,22-02-2022,Expense,Travl,7173,bank transfer,HYDERABAD,Shopping
T0651,U038,23-02-2021,Expense,RENT,2693,upi,Bangalore,Shopping
T2464,U079,,Expense,entertainment,8468,Bank Transfr,CHE,
T7770,U118,28-09-2022,Expense,Health,7900,Crd,ahmedabad,Petrol
T4293,U056,03/27/2024,Income,Bonus,75757,Cash,CHE,
T0163,U098,20-12-2021,Income,Others,749253,BankTransfer,AHMEDABAD,Electricity bill
T11855,U094,08/19/2021,Expense,Educaton,5531,cash,CHENNAI,asdfgh
T1122,U095,16-05-2023,Expense,Rent,₹6790,Csh,Kolkata,
T4911,U041,22-11-2023,Expense,Foods,4827,Crd,Ahmedabad,
T2532,U002,30-11-2022,Expense,TRAVEL,5094,csh,Bangalore,Grocery shopping
T4480,U079,25-01-2024,Expense,Rentt,36568,cash,Pune,misc
T12486,U068,13-11-2024,Expense,Travl,5316,UPi,DEL,Restaurant dinner
T0896,U029,02-05-2021,Expense,Food,$3429,CASH,jaipur,Uber ride
T5973,U072,07-06-2021,Expense,Rentt,₹41358,CARD,JAIPUR,EMI payment
T6904,U007,14-02-2024,Expense,Entertain,6805,Crd,bangalore,Grocery shopping
T8131,U032,28-03-2021,Expense,Rnt,Rs.2358,cash,,!!!
